Age,Occupation,Gender,How do you segregate your waste?,Do you know anything about E-waste,"How often do you dispose of electronic devices (e.g., phones, computers, appliances)?",What method do you primarily use to dispose of your e-waste?,How aware are you of the environmental impact of improper e-waste disposal?,Do you know about local e-waste recycling facilities in your area?,What motivates you to recycle your e-waste? (Select the most important reason),What is the primary barrier to proper e-waste disposal for you?,How satisfied are you with the e-waste management services in your area?,How likely are you to participate in an e-waste recycling program if it was convenient and free?,How important is it for you that your e-waste is disposed of responsibly?,Would you be willing to pay a small fee for the proper disposal and recycling of your e-waste?,Any other thoughts on E-waste
55 and above,Unemployed/Retired,Male,"Dry, wet","Yes, I know it refers to discarded electronic devices.",Less than once a year,Selling to informal recyclers/Kabadiwalas,Somewhat aware,"No, but I would use them if I knew more",Environmental concerns,Lack of local facilities,Neutral,Likely,Important,"Maybe, depends on the fee",Proper local disposal/ recycling centres    is the need 
55 and above,Unemployed/Retired,Female,"Dry, wet","No, I don't know much about E-waste.",Once a year,Donating to charity or second-hand stores,Somewhat aware,"No, but I would use them if I knew more",Environmental concerns,Lack of information on how to dispose,Satisfied,Likely,Important,Yes,We should promote it more
25-34,Self-employed/Entrepreneur,Male,"Dry, wet, E-waste","No, I don't know much about E-waste.",Once a year,Municipal waste collection,Somewhat aware,"Yes, and I use them regularly",Environmental concerns,Lack of local facilities,Satisfied,Likely,Important,"Maybe, depends on the fee",
25-34,Professional/Office worker,Female,"Dry, wet","Yes, I know it refers to discarded electronic devices.",More than twice a year,Municipal waste collection,Somewhat aware,"No, but I would use them if I knew more",Environmental concerns,Lack of local facilities,Dissatisfied,Likely,Very important,Yes,"There is a lack of proper education from the concerned authorities about e-waste disposal, and there are no means to properly dispose of e-waste in my area."
35-44,Professional/Office worker,Male,"Dry, wet, E-waste","Yes, I know it refers to discarded electronic devices.",Less than once a year,Selling to informal recyclers/Kabadiwalas,Somewhat aware,"No, but I would use them if I knew more",Getting rid of waste,Inconvenience of disposal options,Dissatisfied,Likely,Very important,Not sure,E waste fees to be collected as part of purchase by governement and the facilities and disposal to be arranged by each muncipalities.
35-44,Professional/Office worker,Male,"Dry, wet, E-waste","Yes, I know it refers to discarded electronic devices.",Less than once a year,Municipal waste collection,Unaware,"No, but I would use them if I knew more",Environmental concerns,Lack of information on how to dispose,Dissatisfied,Very likely,Very important,Yes,"E-waste, or electronic waste, represents a growing environmental challenge as the rapid advancement of technology leads to an increasing turnover of electronic devices. Proper management of e-waste is critical to mitigating its harmful effects on the environment and human health. E-waste contains hazardous materials such as lead, mercury, and cadmium, which can leach into the soil and water, causing contamination. However, e-waste also holds valuable materials like gold, silver, and copper that can be recovered and reused. Addressing e-waste involves promoting sustainable practices such as recycling, extending the lifespan of electronics through repair and refurbishment, and encouraging manufacturers to design products with end-of-life disposal in mind. Effective policies and consumer awareness are essential to managing e-waste responsibly and reducing its ecological footprint."
45-54,Professional/Office worker,Male,"Dry, wet","Yes, I know it refers to discarded electronic devices.",Once a year,Selling to informal recyclers/Kabadiwalas,Very aware,"No, but I would use them if I knew more",Environmental concerns,Inconvenience of disposal options,Neutral,Very likely,Very important,Yes,
35-44,Professional/Office worker,Female,"Dry, wet, E-waste","Yes, I know it refers to discarded electronic devices.",More than twice a year,Municipal waste collection,Somewhat aware,"No, but I would use them if I knew more",Getting rid of waste,Inconvenience of disposal options,Dissatisfied,Very likely,Very important,No,ഇ-മാലിന്യങ്ങൾ ശേഖരിക്കുന്ന ഒരു agency പഞ്ചായത്ത് തലത്തിൽ ഉണ്ടെങ്കിൽ ഉപകാരപ്രദമാകും
55 and above,Professional/Office worker,Male,I do not segregate,"Yes, I know it can be recycled to recover valuable materials.",More than twice a year,Donating to charity or second-hand stores,Somewhat aware,"No, but I would use them if I knew more",Social responsibility,Lack of local facilities,Dissatisfied,Likely,Important,Yes,Proper management by local govts is essential for the disposal of e wastes
18-24,Professional/Office worker,Female,"Dry, wet, E-waste","Yes, I know it refers to discarded electronic devices.",Less than once a year,Donating to charity or second-hand stores,Very aware,"Yes, and I use them regularly",Environmental concerns,Lack of information on how to dispose,Very satisfied,Very likely,Very important,Yes,
45-54,Professional/Office worker,Female,"Dry, wet, E-waste","Yes, I know it refers to discarded electronic devices.",More than twice a year,Donating to charity or second-hand stores,Very aware,"No, but I would use them if I knew more",Environmental concerns,Lack of information on how to dispose,Dissatisfied,Very likely,Very important,Yes,
55 and above,Unemployed/Retired,Male,"Dry, wet, E-waste","Yes, I know it refers to discarded electronic devices.",Once a year,Municipal waste collection,Very aware,"No, but I would use them if I knew more",Environmental concerns,Inconvenience of disposal options,Satisfied,Very likely,Very important,Yes,
18-24,Professional/Office worker,Female,"Dry, wet, E-waste","Yes, I know it refers to discarded electronic devices.",Less than once a year,Selling to informal recyclers/Kabadiwalas,Very aware,"Yes, but I rarely use them",Environmental concerns,Lack of information on how to dispose,Satisfied,Very likely,Very important,Yes,
18-24,Unemployed/Retired,Female,"Dry, wet","Yes, I know it refers to discarded electronic devices.",Less than once a year,Selling to informal recyclers/Kabadiwalas,Somewhat aware,"No, but I would use them if I knew more",Environmental concerns,Lack of local facilities,Dissatisfied,Likely,Very important,No,
45-54,Professional/Office worker,Female,"Dry, wet","Yes, I know it refers to discarded electronic devices.",Less than once a year,Municipal waste collection,Very aware,"Yes, and I use them regularly",Environmental concerns,Lack of information on how to dispose,Satisfied,Very likely,Very important,Yes,
18-24,Professional/Office worker,Female,"Dry, wet","Yes, I know it refers to discarded electronic devices.",Less than once a year,Municipal waste collection,Somewhat aware,"No, but I would use them if I knew more",Environmental concerns,Inconvenience of disposal options,Dissatisfied,Neutral,Neutral,No,
35-44,Professional/Office worker,Female,"Dry, wet","Yes, I know it refers to discarded electronic devices.",Once a year,Special e-waste collection programs,Very aware,"No, but I would use them if I knew more",Environmental concerns,Inconvenience of disposal options,Satisfied,Very likely,Very important,Yes,
25-34,Professional/Office worker,Female,"Dry, wet, E-waste","Yes, I know it refers to discarded electronic devices.",Once a year,Donating to charity or second-hand stores,Somewhat aware,"No, but I would use them if I knew more",Social responsibility,Lack of information on how to dispose,Neutral,Likely,Very important,"Maybe, depends on the fee",
18-24,Unemployed/Retired,Female,I do not segregate,"Yes, I know it refers to discarded electronic devices.",More than twice a year,Donating to charity or second-hand stores,Neutral,"No, but I would use them if I knew more",Getting rid of waste,Lack of information on how to dispose,Neutral,Likely,Very important,"Maybe, depends on the fee",
18-24,Unemployed/Retired,Male,I do not segregate,"Yes, I know it can contain harmful chemicals.",More than twice a year,Donating to charity or second-hand stores,Neutral,"No, and I’m not interested",Getting rid of waste,No perceived need to recycle,Neutral,Neutral,Neutral,Yes,Nothing more…but we supprt u
18-24,Self-employed/Entrepreneur,Male,I do not segregate,"Yes, I know it can be recycled to recover valuable materials.",Less than once a year,Selling to informal recyclers/Kabadiwalas,Neutral,"No, but I would use them if I knew more",Environmental concerns,Inconvenience of disposal options,Neutral,,Important,"Maybe, depends on the fee",
18-24,Unemployed/Retired,Female,"Dry, wet, E-waste","Yes, I know it refers to discarded electronic devices.",Twice a year,Selling to informal recyclers/Kabadiwalas,Somewhat aware,"Yes, but I rarely use them",Social responsibility,Lack of local facilities,Dissatisfied,Neutral,Important,Yes,There should be proper system for the proper disposal of the e waste and there should be a e waste management system.
18-24,Unemployed/Retired,Male,"Dry, wet","Yes, I know it can be recycled to recover valuable materials.",More than twice a year,Municipal waste collection,Somewhat aware,"Yes, but I rarely use them",Getting rid of waste,Lack of local facilities,Dissatisfied,Very likely,Very important,"Maybe, depends on the fee",
18-24,Unemployed/Retired,Female,"Dry, wet","Yes, I know it refers to discarded electronic devices.",Less than once a year,Municipal waste collection,Somewhat aware,"No, but I would use them if I knew more",Environmental concerns,Lack of information on how to dispose,Dissatisfied,Likely,Very important,"Maybe, depends on the fee",
55 and above,Unemployed/Retired,Male,"Dry, wet","Yes, I know it can contain harmful chemicals.",Once a year,Municipal waste collection,Somewhat aware,"No, but I would use them if I knew more",Environmental concerns,Lack of local facilities,Satisfied,Likely,Very important,"Maybe, depends on the fee", E- waste should be disposed of with modern technology.
55 and above,Unemployed/Retired,Male,"Dry, wet","Yes, I know it refers to discarded electronic devices.",Less than once a year,Municipal waste collection,Somewhat aware,"No, and I’m not interested",Environmental concerns,Lack of local facilities,Dissatisfied,Very likely,Very important,"Maybe, depends on the fee",Xxxx
18-24,Professional/Office worker,Male,"Dry, wet","No, I don't know much about E-waste.",Less than once a year,Donating to charity or second-hand stores,Neutral,"No, but I would use them if I knew more",Social responsibility,Inconvenience of disposal options,Neutral,Neutral,Neutral,"Maybe, depends on the fee",Na
55 and above,Professional/Office worker,Male,"Dry, wet, E-waste","Yes, I know it refers to discarded electronic devices.",Less than once a year,Special e-waste collection programs,Somewhat aware,"No, but I would use them if I knew more",Environmental concerns,Lack of information on how to dispose,Dissatisfied,Very likely,Important,"Maybe, depends on the fee",Government should take steps to create awareness 
25-34,Unemployed/Retired,Female,"Dry, wet, E-waste","Yes, I know it refers to discarded electronic devices.",Once a year,Municipal waste collection,Very aware,"Yes, but I rarely use them",Environmental concerns,Lack of information on how to dispose,Neutral,Likely,Very important,"Maybe, depends on the fee",
35-44,Professional/Office worker,Male,"Dry, wet","Yes, I know it can contain harmful chemicals.",Less than once a year,Municipal waste collection,Neutral,"No, but I would use them if I knew more",Environmental concerns,Lack of information on how to dispose,Dissatisfied,Likely,Very important,"Maybe, depends on the fee",
55 and above,Professional/Office worker,Male,"Dry, wet, E-waste","Yes, I know it refers to discarded electronic devices.",Less than once a year,Special e-waste collection programs,Very aware,"Yes, but I rarely use them",Environmental concerns,Inconvenience of disposal options,Satisfied,Very likely,Very important,Yes,
35-44,Home-Maker,Female,"Dry, wet, E-waste","Yes, I know it refers to discarded electronic devices.",Once a year,Special e-waste collection programs,Somewhat aware,"No, but I would use them if I knew more",Getting rid of waste,Lack of information on how to dispose,Dissatisfied,Very likely,Very important,No,
45-54,Professional/Office worker,Male,"Dry, wet, E-waste","Yes, I know it refers to discarded electronic devices.",More than twice a year,Selling to informal recyclers/Kabadiwalas,Neutral,"No, but I would use them if I knew more",Environmental concerns,Lack of local facilities,Dissatisfied,Unlikely,Important,Yes,
55 and above,Unemployed/Retired,Male,"Dry, wet","Yes, I know it can be recycled to recover valuable materials.",Less than once a year,Selling to informal recyclers/Kabadiwalas,Somewhat aware,"No, but I would use them if I knew more",Environmental concerns,Lack of local facilities,Dissatisfied,Likely,Important,"Maybe, depends on the fee",It is necessary to develop awareness about e waste management within common people 
55 and above,Professional/Office worker,Male,"Dry, wet, E-waste","Yes, I know it refers to discarded electronic devices.",Once a year,Selling to informal recyclers/Kabadiwalas,Very aware,"No, but I would use them if I knew more",Environmental concerns,Lack of local facilities,Dissatisfied,Neutral,Important,No,Govt must take necessary steps without changing any fee.
45-54,Professional/Office worker,Female,"Dry, wet, E-waste","Yes, I know it refers to discarded electronic devices.",Twice a year,Selling to informal recyclers/Kabadiwalas,Somewhat aware,"No, but I would use them if I knew more",Environmental concerns,Lack of information on how to dispose,Dissatisfied,Very likely,Very important,Yes,
